"kristal_size","Microseconds"
10,29
20,33
30,36
40,39
50,56
60,106
70,130
80,157
90,102 
100,291
110,247
120,164
130,400
140,242
150,512
160,200
170,162
180,290
190,163
200,343
210,342
220,392
230,490
240,1213
250,731
260,1445
270,614
280,1298
290,531
300,536
310,1046
320,1559
330,1465
340,895
350,1372
360,728
370,1482
380,1397
390,2028
400,1595
